	title	link_to_tools	tag	views	citations_amount	altmetric_score	journal	authors	topics	abstract	date	citations_link	link	doi	references	all_links	altmetric_link	year
10	Interpreting peptide mass spectra by VEMS	http://www.bio.auc.dk/~rm/sub/VEMS.htm,http://rm@bio.auc.dk	APPLICATIONS NOTE	16	17	0	Bioinformatics Oxford	R. Matthiesen,M. Lundsgaard,K.G. Welinder,G. Bauw	NULL	Most existing Mass Spectra (MS) analysis programs are automatic and provide limitedopportunity for editing during the interpretation. Furthermore, they relyentirely on publicly available databases for interpretation. VEMS (VirtualExpert Mass Spectrometrist) is a program for interactive analysis of peptideMS/MS spectra imported in text file format. Peaks are annotated, themonoisotopic peaks retained, and the b-and y-ion series identified in aninteractive manner. The called peptide sequence is searched against a localprotein database for sequence identity and peptide mass. The report comparesthe calculated and the experimental mass spectrum of the called peptide. Theprogram package includes four accessory programs. VEMStrans creates proteindatabases in FASTA format from EST or cDNA sequence files. VEMSdata createsa virtual peptide database from FASTA files. VEMSdist displays thedistribution of masses up to 5000 Da. VEMSmaldi searches singly chargedpeptide masses against the local database.Availability:http://www.bio.auc.dk/~rm/sub/VEMS.htmContact:rm@bio.auc.dk*To whom correspondenceshould be addressed.	2003-04-12	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000182328400023&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/6/792/234372/Interpreting-peptide-mass-spectra-by-VEMS	10.1093/bioinformatics/btg059	NULL	http://www.bio.auc.dk/~rm/sub/VEMS.htm,http://rm@bio.auc.dk	NULL	NULL
11	"Cellerator: extending a computer algebra system to include 
biochemical arrows for signal transduction simulations"	http://www-aig.jpl.nasa.gov/public/mls/cellerator,http://bshapiro@jpl.nasa.gov	APPLICATIONS NOTE	18	67	0	Bioinformatics Oxford	Bruce E. Shapiro,Andre Levchenko,Elliot M. Meyerowitz,Barbara J. Wold,Eric D. Mjolsness	NULL	Summary: Cellerator describes single and multi-cellular signaltransduction networks (STN) with a compact, optionally palette-driven,arrow-based notation to represent biochemical reactions and transcriptionalactivation. Multi-compartment systems are represented as graphs with STNsembedded in each node. Interactions include mass-action, enzymatic,allosteric and connectionist models. Reactions are translated intodifferential equations and can be solved numerically to generate predictivetime courses or output as systems of equations that can be read by otherprograms. Cellerator simulations are fully extensible and portable to anyoperating system that supports Mathematica, and can be indefinitely nestedwithin larger data structures to produce highly scaleable models.Availability: Cellerator can be licensedfree of charge to noncommercial academic, U.S. government, and nonprofit users. Details and sample notebooks are available athttp://www-aig.jpl.nasa.gov/public/mls/cellerator.Contact:bshapiro@jpl.nasa.gov*To whom correspondenceshould be addressed.	2003-03-22	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000181964600027&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/5/677/239486/Cellerator-extending-a-computer-algebra-system-to	10.1093/bioinformatics/btg042	NULL	http://www-aig.jpl.nasa.gov/public/mls/cellerator,http://bshapiro@jpl.nasa.gov	NULL	NULL
12	Protein family annotation in a multiple alignment viewer	http://www.pfizerdtc.com,http://jason_johnson@merck.com,http://enoch_huang@cambridge.pfizer.com	APPLICATIONS NOTE	15	34	0	Bioinformatics Oxford	Jason M. Johnson,Keith Mason,Ciamac Moallemi,Hualin Xi,Shyamal Somaroo,Enoch S. Huang	NULL	Summary: The Pfaatproteinfamilyalignmentannotationtool is aJava-based multiple sequence alignment editor and viewer designed forprotein family analysis. The application merges display features such asdendrograms, secondary and tertiary protein structure with SRS retrieval,subgroup comparison, and extensive user-annotation capabilities.Availability: The program and source code are freely available fromthe authors under the GNU General Public License athttp://www.pfizerdtc.comContact:jason_johnson@merck.comenoch_huang@cambridge.pfizer.com*To whom correspondenceshould be addressed.†Present address: Rosetta Inpharmatics, 12040 115thAvenue NE, Kirkland, WA 98034, USA.	2003-03-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000181410700016&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/4/544/218760/Protein-family-annotation-in-a-multiple-alignment	10.1093/bioinformatics/btg021	NULL	http://www.pfizerdtc.com,http://jason_johnson@merck.com,http://enoch_huang@cambridge.pfizer.com	NULL	NULL
13	The European Bioinformatics Institute web site: a new view	http://www.ebi.ac.uk/,http://rls@ebi.ac.uk	APPLICATIONS NOTE	17	0	0	Bioinformatics Oxford	Rodrigo Lopez,Stephen Robinson,Asif Kibria,Nicola Harte,Gulam Patel,Rob Harper,Emmanuel Quevillon,Ville Silventoinen,Kimmo Kallio,Petteri Jokinen	NULL	Summary: The European Bioinformatics Institute (EBI), and outstation of the EuropeanMolecular Biology laboratory, has revamped its web site for the second timesince 1997 in order to address increased user demand as well as establishingbetter uniformity and easier accessibility for the ever growing number ofusers and services it offers to the community. A GRID-like hardwareinfrastructure has been put in place to provide round the clock services ina redundant and reliable fashion.Availability:http://www.ebi.ac.uk/Contact:rls@ebi.ac.uk*To whom correspondenceshould be addressed.†EBI’s Systems group.	2003-03-01	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fbioinformatics%2farticle%2f19%2f4%2f546%2f218788	https://academic.oup.com/bioinformatics/article/19/4/546/218788/The-European-Bioinformatics-Institute-web-site-a	10.1093/bioinformatics/btg022	NULL	http://www.ebi.ac.uk/,http://rls@ebi.ac.uk	NULL	NULL
14	A collection of well characterised integral membrane proteins	http://moeller@ebi.ac.uk	APPLICATIONS NOTE	26	67	0	Bioinformatics Oxford	Steffen Möller,Evgenia V. Kriventseva,Rolf Apweiler	NULL	Summary: A collection of transmembrane proteins withannotated transmembrane regions, for which good experimental evidenceexist, was created as a test or training set for algorithms topredict transmembrane regions in proteins.Availability:ftp://ftp.ebi.ac.uk/databases/testsets/transmembraneContact:moeller@ebi.ac.uk	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200015&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1159/214773/A-collection-of-well-characterised-integral	10.1093/bioinformatics/16.12.1159	NULL	http://moeller@ebi.ac.uk	NULL	NULL
15	Characterizing gene sets with FuncAssociate	http://llama.med.harvard.edu/Software.html	APPLICATIONS NOTES	102	265	0	Bioinformatics Oxford	Gabriel F. Berriz,Oliver D. King,Barbara Bryant,Chris Sander,Frederick P. Roth	NULL	Summary:FuncAssociate is a web-based tool to help researchers use Gene Ontology attributes to characterize large sets of genes derived from experiment. Distinguishing features of FuncAssociate include the ability to handle ranked input lists, and a Monte Carlo simulation approach that is more appropriate to determine significance than other methods, such as Bonferroni or S̆idákp-value correction. FuncAssociate currently supports 10 organisms (Vibrio cholerae,Shewanella oneidensis,Saccharomyces cerevisiae,Schizosaccharomyces pombe,Arabidopsis thaliana,Caenorhaebditis elegans,Drosophila melanogaster,Mus musculus,Rattus norvegicusandHomo sapiens).Availability:FuncAssociate is freely accessible athttp://llama.med.harvard.edu/Software.html. Source code (in Perl and C) is freely available to academic users ‘as is’.	2003-12-12	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000187217700032&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/19/18/2502/194688/Characterizing-gene-sets-with-FuncAssociate	10.1093/bioinformatics/btg363	NULL	NULL	NULL	NULL
16	The GeneAround GO viewer	http://db.aist-nara.ac.jp/genearound/,http://genearound@is.aist-nara.ac.jp	APPLICATIONS NOTE	17	6	0	Bioinformatics Oxford	Junko Tanoue,Masatoshi Yoshikawa,Shunsuke Uemura	NULL	Summary: We have developed a system for visualizing the Gene Ontology™hierarchy. The graphical browser interactively displays diagrams of the inheritance relationship for each term to help understand the meanings of terms when handling gene annotation data.Availability: The GeneAround GO viewer is open to the public athttp://db.aist-nara.ac.jp/genearound/Contact:genearound@is.aist-nara.ac.jp*To whom correspondenceshould be addressed at Information Technology Center, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8601, JAPAN.	2002-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000179951800028&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/18/12/1705/239692/The-GeneAround-GO-viewer	10.1093/bioinformatics/18.12.1705	NULL	http://db.aist-nara.ac.jp/genearound/,http://genearound@is.aist-nara.ac.jp	NULL	NULL
17	OWEN: aligning long collinear regions of genomes	http://ogurtsov@ncbi.nlm.nih.gov	APPLICATIONS NOTE	18	34	0	Bioinformatics Oxford	Aleksey Y. Ogurtsov,Mikhail A. Roytberg,Svetlana A. Shabalina,Alexey S. Kondrashov	NULL	Summary: OWEN is an interactive tool for aligning two long DNA sequences that represents similarity between them by a chain of collinearlocal similarities. OWEN employs several methods for constructing andediting local similarities and for resolving conflicts between them.Alignments of sequences of lengths over 106can often be produced inminutes. OWEN requires memory below 20 L, where L is the sum of lengths ofthe compared sequences.Availability: Pre-compiled versions of OWEN for Windows, Linux for PC, SunOS for Sun, and Irix for SGI, user manual, and examples of alignmentsare freely available atftp://ftp.ncbi.nih.gov/pub/kondrashov/owenContact:ogurtsov@ncbi.nlm.nih.gov*To whom correspondenceshould be addressed.	2002-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000179951800027&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/18/12/1703/239670/OWEN-aligning-long-collinear-regions-of-genomes	10.1093/bioinformatics/18.12.1703	NULL	http://ogurtsov@ncbi.nlm.nih.gov	NULL	NULL
18	"PoPMuSiC,  rationally designing point
mutations in protein structures"	http://babylone.ulb.ac.be/popmusic,http://jean.marc.kwasigroch@ulb.ac.be	APPLICATIONS NOTE	23	46	0	Bioinformatics Oxford	J. M. Kwasigroch,D. Gilis,Y. Dehouck,M. Rooman	NULL	Summary: PoPMuSiC is an efficient tool for rational computer-aideddesign of single-site mutations in proteins and peptides.Two types of queries can be submitted. The first option allows to estimate the changes in folding free energyfor specific point mutations given by the user. In the second option, all possible point mutations in a given protein or protein region are performed and the most stabilizing or destabilizing mutations, or the neutral mutations with respect to thermodynamic stability, are selected.For each sequence position or secondary structure the deviation from the most stable sequence is moreover evaluated, which helps to identify the most suitable sites forthe introduction of mutations.Availability:http://babylone.ulb.ac.be/popmusicContact:jean.marc.kwasigroch@ulb.ac.be*To whom correspondenceshould be addressed.	2002-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000179951800026&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/18/12/1701/239654/PoPMuSiC-rationally-designing-point-mutations-in	10.1093/bioinformatics/18.12.1701	NULL	http://babylone.ulb.ac.be/popmusic,http://jean.marc.kwasigroch@ulb.ac.be	NULL	NULL
19	ADME-AP: a database of ADME associated proteins	http://xin.cz3.nus.edu.sg/group/admet/admet.asp,http://yzchen@cz3.nus.edu.sg	APPLICATIONS NOTE	27	16	3	Bioinformatics Oxford	L. Z. Sun,Z. L. Ji,X. Chen,J. F. Wang,Y. Z. Chen	NULL	Summary: Drug absorption, distribution, metabolism and excretion (ADME) often involve interaction of a drug with specific proteins. Knowledge about these ADME-associated proteins is important in facilitating the study of the molecular mechanism of disposition and individual response as well as therapeutic action of drugs. It is also useful in the development and testing of pharmacokinetics prediction tools. Several databases describing specific classes of ADME-associated proteins have appeared. A new database, ADME-associated proteins (ADME-AP), is introduced to provide comprehensive information about all classes of ADME-associated proteins described in the literature including physiological function of each protein, pharmacokinetic effect, ADME classification, direction and driving force of disposition, location and tissue distribution, substrates, synonyms, gene name and protein availability in other species. Cross-links to other databases are also provided to facilitate the access of information about the sequence, 3D structure, function, polymorphisms, genetic disorders, nomenclature, ligand binding properties and related literatures of each protein. ADME-AP currently contains entries for 321 proteins and 964 substrates.Availability:http://xin.cz3.nus.edu.sg/group/admet/admet.aspContact:yzchen@cz3.nus.edu.sg*To whom correspondenceshould be addressed.	2002-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000179951800025&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/18/12/1699/239633/ADME-AP-a-database-of-ADME-associated-proteins	10.1093/bioinformatics/18.12.1699	NULL	http://xin.cz3.nus.edu.sg/group/admet/admet.asp,http://yzchen@cz3.nus.edu.sg	https://badges.altmetric.com/?size=128&score=3&types=dddddddd	NULL
20	DNACompress: fast and effective DNA sequence compression	http://dna.cs.ucsb.edu/DNACompress,http://chxin@cs.ucsb.edu,http://mli@cs.ucsb.edu	APPLICATIONS NOTE	50	94	0	Bioinformatics Oxford	Xin Chen,Ming Li,Bin Ma,John Tromp	NULL	Summary: While achieving the best compression ratios for DNA sequences, our newDNACompressprogram significantly improves the running time of all previous DNA compression programs.Availability:http://dna.cs.ucsb.edu/DNACompressContact:chxin@cs.ucsb.edumli@cs.ucsb.edu*To whom correspondenceshould be addressed.	2002-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000179951800024&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/18/12/1696/239617/DNACompress-fast-and-effective-DNA-sequence	10.1093/bioinformatics/18.12.1696	NULL	http://dna.cs.ucsb.edu/DNACompress,http://chxin@cs.ucsb.edu,http://mli@cs.ucsb.edu	NULL	NULL
